	문서번호	문장번호	수집일	채널	문장	URL	회사명	연관어
8761	DN000000010664086437_17	DN000000010664086437	20230110	언론	김정우 롯데마트 브랜드전략팀 전단 담당자는 “친환경 경영과 ESG가치 실현을 위해 20여년간 운영하던 1회용 종이 전단 운영을 전면 중단하고 이제는 모바일 전단으로 고객들과 소통하고자 한다”며 “고객들과 함께 환경보호에 동참한다는 점에서 감회가 새롭고, 모바일 전단의 지속적인 개선을 위해 노력하는 것은 물론 향후 이와 연계된 다양한 프로모션도 검토할 예정이니 많은 이용 바란다”고 말했다.	https://n.news.naver.com/mnews/article/119/0002674186?rc=N&ntype=RANKING&sid=001	롯데쇼핑	친환경,개선,종이,환경보호,중단,환경
8765	DN000000010664136401_8	DN000000010664136401	20230110	언론	김정우 롯데마트 브랜드전략팀 전단 담당자는 “친환경 경영과 ESG가치 실현을 위해 20여년간 운영하던 1회용 종이 전단 운영을 전면 중단하고 이제는 모바일 전단으로 고객들과 소통하고자 한다”며, “고객들과 함께 환경보호에 동참한다는 점에서 감회가 새롭고, 모바일 전단의 지속적인 개선을 위해 노력하는 것은 물론 향후 이와 연계된 다양한 프로모션도 검토할 예정이니 많은 이용 바란다”고 말했다.	https://www.lawissue.co.kr/view.php?ud=202301100903144805204ead0791_12	롯데쇼핑	친환경,개선,종이,환경보호,중단,환경
8773	DN000000010664417075_5	DN000000010664417075	20230110	언론	"롯데마트 관계자는 ""친환경 경영과 ESG가치 실현을 위해 20여년간 운영하던 1회용 종이 전단 운영을 전면 중단하고 모바일 전단으로 고객들과 소통하려 한다""며 ""고객과 함께 환경보호에 동참하고, 모바일 전단의 지속적인 개선을 위해 노력하겠다""고 말했다."	http://www.goodkyung.com/news/articleView.html?idxno=197665	롯데쇼핑	친환경,개선,종이,환경보호,중단,환경
8781	DN000000010665283349_10	DN000000010665283349	20230110	언론	김정우 롯데마트 브랜드전략팀 전단 담당자는 “친환경 경영과 ESG가치 실현을 위해 20여년간 운영하던 1회용 종이 전단 운영을 전면 중단하고 이제는 모바일 전단으로 고객들과 소통하고자 한다. 고객들과 함께 환경보호에 동참한다는 점에서 감회가 새롭고, 모바일 전단의 지속적인 개선을 위해 노력하는 것은 물론 향후 이와 연계된 다양한 프로모션도 검토할 예정이니 많은 이용 바란다”고 전했다.	http://www.enetnews.co.kr/news/articleView.html?idxno=8996	롯데쇼핑	친환경,개선,종이,환경보호,중단,환경
8787	DN000000010663836602_16	DN000000010663836602	20230110	언론	"김정우 롯데마트 브랜드전략팀 전단 담당자는 ""친환경 경영과 ESG가치 실현을 위해 20여년간 운영하던 1회용 종이 전단 운영을 전면 중단하고 이제는 모바일 전단으로 고객들과 소통하고자 한다""며 ""고객과환경보호에 동참한다는 점에서 감회가 새롭고, 모바일 전단의 지속적인 개선을 위해 노력하는 것은 물론 향후 이와 연계된 다양한 프로모션도 검토할 예정""이라고 말했다."	https://n.news.naver.com/mnews/article/421/0006567206?rc=N&ntype=RANKING&sid=001	롯데쇼핑	친환경,개선,종이,중단,환경
8793	DN000000010664153526_10	DN000000010664153526	20230110	언론	"김정우 롯데마트 브랜드전략팀 전단 담당자는 ""친환경 경영과 ESG가치 실현을 위해 20여년간 운영하던 1회용 종이 전단 운영을 전면 중단하고 이제는 모바일 전단으로 고객들과 소통하고자 한다""며 ""모바일 전단의 지속적인 개선을 위해 노력하는 것은 물론 향후 이와 연계된 다양한 프로모션도 검토할 예정""이라고 말했다."	https://www.thinkpool.com/analysis/news/15813894	롯데쇼핑	친환경,개선,종이,중단
8798	DN000000010664580612_17	DN000000010664580612	20230110	언론	"김정우 롯데마트 브랜드전략팀 전단 담당자는 ""친환경 경영과 ESG가치 실현을 위해 20여년간 운영하던 1회용 종이 전단 운영을 전면 중단하고 이제는 모바일 전단으로 고객들과 소통하고자 한다""며, ""모바일 전단의 지속적인 개선을 위해 노력하는 것은 물론 향후 이와 연계된 다양한 프로모션도 검토할 예정""이라고 말했다."	http://www.naeil.com/news_view/?id_art=447889	롯데쇼핑	친환경,개선,종이,중단
8799	DN000000010665624348_11	DN000000010665624348	20230110	언론	"김정우 롯데마트 브랜드전략팀 전단 담당자는 ""친환경 경영과 ESG가치 실현을 위해 20여년간 운영하던 1회용 종이 전단 운영을 전면 중단하고 이제는 모바일 전단으로 고객들과 소통하고자 한다""며 ""모바일 전단의 지속적인 개선을 위해 노력하는 것은 물론 향후 이와 연계된 다양한 프로모션도 검토할 것""이라고 말했다."	http://www.smartcitytoday.co.kr/news/articleView.html?idxno=26013	롯데쇼핑	친환경,개선,종이,중단
8800	DN000000010664024802_10	DN000000010664024802	20230110	언론	롯데마트 관계자는 “친환경 경영과 ESG(환경·사회·지배구조) 가치 실현을 위해 20여년간 운영하던 1회용 종이 전단 운영을 전면 중단하고 이제는 모바일 전단으로 고객들과 소통하고자 한다”며 “모바일 전단의 지속적인 개선을 위해 노력하는 것은 물론 향후 다양한 프로모션도 검토할 예정”이라고 말했다.	http://www.m-i.kr/news/articleView.html?idxno=978551	롯데쇼핑	친환경,개선,종이,사회,지배구조,중단,환경
8801	DN000000010664148549_8	DN000000010664148549	20230110	언론	김정우 롯데마트 브랜드전략팀 전단 담당자는 “친환경 경영과 ESG(환경·사회·지배구조)가치 실현을 위해 20여 년간 운영하던 일회용 종이 전단 운영을 전면 중단하고 이제는 모바일 전단으로 고객과 소통하고자 한다”며 “모바일 전단의 지속적인 개선을 위해 노력하고, 이와 연계된 다양한 프로모션도 검토할 예정”이라고 말했다.	http://news.nate.com/view/20230110n07464?mid=n0100	롯데쇼핑	친환경,개선,종이,사회,지배구조,중단,환경
8806	DN000000010664406831_48	DN000000010664406831	20230110	언론	대상은 향후 임직원이 기부한 마일리지로 친환경 에너지 설비를 지원하는 사업을 전국 농가로 확대하고 온실가스 감축에 기여하겠다는 방침이다.	https://www.thinkpool.com/analysis/news/15814319	롯데쇼핑	친환경,감축,확대,에너지,기부,온실가스 감축,설비,지원
